id;gender;masterCategory;subCategory;articleType;baseColour;season;year;usage;productDisplayName;filename;link;gender_group
30760;Men;Apparel;Topwear;Kurtas;Red;Summer;2012;Ethnic;Fabindia Men Printed Red Kurta;30760.jpg;http://assets.myntassets.com/v1/images/style/properties/ff45a83d1f9108d1e380a9541bcb16fb_images.jpg;MEN
19812;Men;Apparel;Topwear;Sweatshirts;Navy Blue;Fall;2011;Casual;U.S. Polo Assn. Men Solid Navy Blue Sweatshirt;19812.jpg;http://assets.myntassets.com/v1/images/style/properties/59099d2419bae5e05b13cc1c793efba7_images.jpg;MEN
36459;Men;Footwear;Shoes;Sports Shoes;White;Spring;2013;Sports;Spinn Men Texan White Sports Shoes;36459.jpg;http://assets.myntassets.com/v1/images/style/properties/c2182402de46d750c38fd759dd564d4a_images.jpg;MEN
3859;Men;Apparel;Topwear;Tshirts;White;Summer;2011;Casual;Ed Hardy Men's White Skull Rider T-shirt;3859.jpg;http://assets.myntassets.com/v1/images/style/properties/51653d50022db81cbc6133ad171c4efb_images.jpg;MEN
39869;Women;Footwear;Shoes;Heels;Grey;Spring;2013;Casual;Catwalk Women Grey & Blue Flats;39869.jpg;http://assets.myntassets.com/v1/images/style/properties/79d4c1a3f9f0c79934b8cb929e5875c0_images.jpg;WOMEN
56314;Women;Accessories;Watches;Watches;Red;Winter;2016;Casual;Fastrack Women Red Dial Watch;56314.jpg;http://assets.myntassets.com/v1/images/style/properties/Fastrack-Women-Red-Dial-Watch_d96b70f17c56abd101e81a2b37c7771e_images.jpg;WOMEN
4656;Women;Footwear;Sandal;Sports Sandals;Black;Summer;2011;Casual;ADIDAS Women Receptor Grey Black Sandals;4656.jpg;http://assets.myntassets.com/v1/images/style/properties/db94c2679255b7b9feecc0941f111ccf_images.jpg;WOMEN
11275;Men;Apparel;Bottomwear;Track Pants;Black;Fall;2011;Sports;Nike Men Crickt Black Track Pants;11275.jpg;http://assets.myntassets.com/v1/images/style/properties/2dba7927343efe1070bbe8d666746a31_images.jpg;MEN
3895;Girls;Apparel;Topwear;Tshirts;White;Summer;2011;Casual;Disney Kids Girl's White Minnie With Pink Lace Kidswear;3895.jpg;http://assets.myntassets.com/v1/images/style/properties/e15fe7417d72174ec8747a27c004b5bf_images.jpg;WOMEN
8457;Women;Apparel;Topwear;Tops;Pink;Fall;2011;Casual;Jealous 21 Women jealous Surf Island Forever Pink top Pink Tops;8457.jpg;http://assets.myntassets.com/v1/images/style/properties/a70477fa3aa51cf9812bda0c2a457e7a_images.jpg;WOMEN
41382;Women;Apparel;Topwear;Tops;Pink;Summer;2012;Casual;Wrangler Women Blossom Pink Top;41382.jpg;http://assets.myntassets.com/v1/images/style/properties/c64d41d2fecd65e5499a6c8506a8973b_images.jpg;WOMEN
45875;Men;Accessories;Watches;Watches;White;Winter;2016;Casual;Maxima Men White Dial Watch;45875.jpg;http://assets.myntassets.com/v1/images/style/properties/2c2151f4f44e0e40993a8dda56227635_images.jpg;MEN
38000;Men;Footwear;Flip Flops;Flip Flops;Red;Summer;2012;Casual;Kelme Men Red & Blue Flip Flops;38000.jpg;http://assets.myntassets.com/v1/images/style/properties/01872d498c2bc40b564d1fbdf4ab2b99_images.jpg;MEN
19439;Men;Accessories;Headwear;Caps;Black;Summer;2012;Casual;Quiksilver Men Black Qsacc Cap;19439.jpg;http://assets.myntassets.com/v1/images/style/properties/aa26252d7556ac26b6e0b5e0a25e11cd_images.jpg;MEN
29823;Men;Apparel;Topwear;Shirts;Red;Summer;2012;Casual;Basics Men Red Checked Shirt;29823.jpg;http://assets.myntassets.com/v1/images/style/properties/20e0ff63e4b95b7ca85214dea6621de1_images.jpg;MEN
4778;Women;Apparel;Topwear;Tshirts;White;Summer;2011;Sports;ADIDAS Women's Flora White T-shirt;4778.jpg;http://assets.myntassets.com/v1/images/style/properties/a464395147f74c5dbdbf0a984cbbc51e_images.jpg;WOMEN
42392;Women;Apparel;Topwear;Tshirts;Black;Summer;2012;Casual;Flying Machine Women Black T-shirt;42392.jpg;http://assets.myntassets.com/v1/images/style/properties/e1dfc4b710f03f4b4f09da34a879c0aa_images.jpg;WOMEN
13596;Men;Apparel;Innerwear;Innerwear Vests;Black;Summer;2016;Casual;Hanes Men Black Crew Pack Of 3 Innerwear T-Shirts;13596.jpg;http://assets.myntassets.com/v1/images/style/properties/Hanes-Men-Black-Crew-Pack-Of-3-Innerwear-T-Shirts_210bc97f6eb186970aec64330b2d6978_images.jpg;MEN
38573;Men;Apparel;Bottomwear;Track Pants;Navy Blue;Fall;2012;Sports;Nike Men AD Striker Navy Blue Track Pants;38573.jpg;http://assets.myntassets.com/v1/images/style/properties/db5c0bd6fe5607bd4058153e927136a5_images.jpg;MEN
23144;Women;Apparel;Topwear;Sweatshirts;Brown;Fall;2011;Casual;Quechua Women  Fleece Brown Sweatshirt;23144.jpg;http://assets.myntassets.com/v1/images/style/properties/c87eeb21f56461b390fa1a7ca53e306e_images.jpg;WOMEN
21186;Men;Footwear;Flip Flops;Flip Flops;Blue;Fall;2011;Casual;ADIDAS Men Star Story Blue Flip Flops;21186.jpg;http://assets.myntassets.com/v1/images/style/properties/e62c55a04b18b09939898571a2cc9258_images.jpg;MEN
25299;Women;Accessories;Bags;Handbags;Brown;Winter;2015;Casual;Lino Perros Women Sporty Brown Pouch;25299.jpg;http://assets.myntassets.com/v1/images/style/properties/078956de8706488b40f0799927910ca3_images.jpg;WOMEN
27841;Men;Accessories;Belts;Belts;White;Summer;2012;Casual;Bulchee Men Plain Jeans White Belt;27841.jpg;http://assets.myntassets.com/v1/images/style/properties/8e033a452f0390d83a7c343f07177be0_images.jpg;MEN
4628;Men;Footwear;Sandal;Sandals;Brown;Summer;2011;Casual;ADIDAS Men Terra Lea Brown Sandal;4628.jpg;http://assets.myntassets.com/v1/images/style/properties/679d8ded48c4f48179fb02c8a033c941_images.jpg;MEN
24306;Men;Apparel;Bottomwear;Tracksuits;Grey;Fall;2012;Casual;ADIDAS Men Grey & Red Tracksuit;24306.jpg;http://assets.myntassets.com/v1/images/style/properties/Adidas-Men-Grey---Red-Tracksuit_cfb8542c1db6cf3e0d1a6094c39d33b2_images.jpg;MEN
33393;Women;Accessories;Bags;Handbags;Brown;Summer;2012;Casual;Baggit Women Faltu Taj Brown Handbag;33393.jpg;http://assets.myntassets.com/v1/images/style/properties/007fbebd13437c65fb57c1653ed6159f_images.jpg;WOMEN
34550;Women;Accessories;Bags;Handbags;Multi;Summer;2012;Casual;Puma Women Dizzy Shopper Multi Colour Handbag;34550.jpg;http://assets.myntassets.com/v1/images/style/properties/2418c69b38c2072926d39cc13ee4fe40_images.jpg;WOMEN
28769;Women;Apparel;Topwear;Kurtis;White;Summer;2012;Ethnic;Aurelia Women Printed White & Red Kurti;28769.jpg;http://assets.myntassets.com/v1/images/style/properties/9216ab88e35eefebf0b64206e0ba0e5d_images.jpg;WOMEN
44916;Men;Apparel;Loungewear and Nightwear;Lounge Pants;Black;Summer;2012;Casual;Puma Men Black 3/4 Length Pants;44916.jpg;http://assets.myntassets.com/v1/images/style/properties/4d89eac093805bed87cc8f1d40ae7b67_images.jpg;MEN
9237;Men;Apparel;Topwear;Shirts;Blue;Fall;2011;Formal;Mark Taylor Men Blue Striped Shirt;9237.jpg;http://assets.myntassets.com/v1/images/style/properties/6e5f417d65cfb80e1b62ade89d4fd5be_images.jpg;MEN
45338;Women;Footwear;Shoes;Heels;Grey;Summer;2016;Casual;Cobblerz Women Grey & Peach Sandals;45338.jpg;http://assets.myntassets.com/v1/images/style/properties/121d0e3bce30f9f668e898f294f6fecd_images.jpg;WOMEN
43940;Women;Footwear;Shoes;Heels;Gold;Winter;2012;Casual;Catwalk Women Gold Heels;43940.jpg;http://assets.myntassets.com/v1/images/style/properties/85cc7e1aa0c77f9d7effe71d360d200e_images.jpg;WOMEN
3922;Men;Apparel;Bottomwear;Track Pants;Grey;Summer;2011;Casual;Urban Yoga Men Bottom Grey Melange Yoga Pants;3922.jpg;http://assets.myntassets.com/v1/images/style/properties/5fdc61d2ee1ba275fa719db73cccce47_images.jpg;MEN
31660;Men;Apparel;Topwear;Shirts;Black;Summer;2012;Casual;Indigo Nation Men Printed Black Shirt;31660.jpg;http://assets.myntassets.com/v1/images/style/properties/333004b882f19b36eace7f9128660010_images.jpg;MEN
38416;Women;Accessories;Belts;Belts;Purple;Summer;2012;Casual;Baggit Women Chotu Sandwichtost Purple Belt;38416.jpg;http://assets.myntassets.com/v1/images/style/properties/912bf472108f7453d4a1423b6c4f7468_images.jpg;WOMEN
53679;Women;Accessories;Bags;Handbags;Pink;Summer;2012;Casual;Kiara Women Pink Handbag;53679.jpg;http://assets.myntassets.com/v1/images/style/properties/Kiara-Women-Pink-Handbag_00c4f5364f9baa654f02d6be6f2b63d5_images.jpg;WOMEN
17440;Men;Accessories;Watches;Watches;Steel;Winter;2016;Casual;Casio Men Steel Watch EX045 EFR-502D-7AVDF;17440.jpg;http://assets.myntassets.com/v1/images/style/properties/Casio-Men-Edifice-Steel-Watchbdb224d4012ceaa15130c65d353a3d87_images.jpg;MEN
5969;Men;Apparel;Topwear;Shirts;Red;Summer;2011;Casual;Locomotive Men Red Blue Checked Shirt;5969.jpg;http://assets.myntassets.com/v1/images/style/properties/fc946dde022a5cb7b64b7c64705afa8e_images.jpg;MEN
23125;Men;Footwear;Flip Flops;Flip Flops;Red;Summer;2013;Casual;Converse Men Red Flip Flops;23125.jpg;http://assets.myntassets.com/v1/images/style/properties/Converse-Men-Liv-Life-Laugh-Red-Flip-Flops_aa0861dd4359c8640bdb7f1188c3c6ed_images.jpg;MEN
27839;Men;Accessories;Belts;Belts;Navy Blue;Summer;2013;Casual;Bulchee Men Navy Blue Leather Belt;27839.jpg;http://assets.myntassets.com/v1/images/style/properties/Bulchee-Men-Navy-Blue-Leather-Belt44d592b8c6482134dfc4874c566d9b1c_images.jpg;MEN
2397;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Men's Brown Casual Shoe;2397.jpg;http://assets.myntassets.com/v1/images/style/properties/8f9307ab2dfebec13927ad6801a3f24f_images.jpg;MEN
43215;Women;Accessories;Watches;Watches;White;Winter;2016;Casual;Fastrack Women White Dial Watch;43215.jpg;http://assets.myntassets.com/v1/images/style/properties/1ade1b445544b265a79eec30006bc8a0_images.jpg;WOMEN
6747;Men;Footwear;Shoes;Sports Shoes;White;Summer;2011;Sports;Nike Men's Streetgato White Shoe;6747.jpg;http://assets.myntassets.com/v1/images/style/properties/7490291f90c4e68990abe550f33161db_images.jpg;MEN
17961;Men;Footwear;Sandal;Sandals;Grey;Fall;2011;Casual;Puma Men Scuba Grey Slipper;17961.jpg;http://assets.myntassets.com/v1/images/style/properties/c97d15b0fc89a009cb1008c7296bd91c_images.jpg;MEN
54595;Women;Apparel;Topwear;Kurtas;Multi;Summer;2012;Ethnic;Sushilas Women Multi Coloured Kurta;54595.jpg;http://assets.myntassets.com/v1/images/style/properties/Sushilas-Women-Multi-Coloured-Kurta_c3adf515c39496b7bfefd060afef340b_images.jpg;WOMEN
26960;Women;Apparel;Topwear;Shirts;Purple;Summer;2012;Casual;Jealous 21 Women Purple Shirt;26960.jpg;http://assets.myntassets.com/v1/images/style/properties/45ddbc6a15140556214e15923244755b_images.jpg;WOMEN
33018;Women;Apparel;Topwear;Kurtas;Green;Summer;2012;Ethnic;Mother Earth Women Striped Green Kurta;33018.jpg;http://assets.myntassets.com/v1/images/style/properties/a327e840683a7a170b38cf41fbfa0de8_images.jpg;WOMEN
57817;Women;Apparel;Topwear;Tops;Green;Fall;2012;Casual;United Colors of Benetton Women Green Top;57817.jpg;http://assets.myntassets.com/v1/images/style/properties/United-Colors-of-Benetton-Women-Green-Top_4cc4ef18735406fc02a2a1e005007924_images.jpg;WOMEN
45590;Men;Footwear;Shoes;Formal Shoes;Black;Summer;2013;Formal;Arrow Men Black Formal Shoes;45590.jpg;http://assets.myntassets.com/v1/images/style/properties/c8ee49882dd92a10bec19b2da3becda6_images.jpg;MEN
38041;Men;Accessories;Watches;Watches;Navy Blue;Winter;2016;Casual;Q&Q Men Navy Dial Watch DD02J004Y;38041.jpg;http://assets.myntassets.com/v1/images/style/properties/29fb293d8ed68d94e8d8c2537286443c_images.jpg;MEN
5976;Men;Apparel;Topwear;Shirts;Red;Summer;2011;Casual;Highlander Men White Red Checked Shirt;5976.jpg;http://assets.myntassets.com/v1/images/style/properties/8c1bf58b6bf8bf6a318a2573569ce140_images.jpg;MEN
57103;Women;Apparel;Topwear;Tops;Blue;Summer;2012;Casual;Elle Women Blue Top;57103.jpg;http://assets.myntassets.com/v1/images/style/properties/Elle-Women-Blue-Top_c51705fc6c68666428962c7f6b8ac1df_images.jpg;WOMEN
32317;Women;Accessories;Watches;Watches;Red;Winter;2016;Casual;Q&Q Women Red Dial Watch GS97J322Y;32317.jpg;http://assets.myntassets.com/v1/images/style/properties/Q-Q-Women-Watches_d364afea8ddb4ff1dbe086cda02f0b0c_images.jpg;WOMEN
41874;Men;Footwear;Sandal;Sandals;Navy Blue;Fall;2014;Casual;Estd. 1977 Men Navy Blue & Brown Sandals;41874.jpg;http://assets.myntassets.com/v1/images/style/properties/130dfe9666edacd46c8b7fae1b64380e_images.jpg;MEN
45259;Men;Accessories;Watches;Watches;Black;Winter;2016;Casual;Casio EDIFICE Men Chronograph Watch ED61 EF-305D-1AVDF;45259.jpg;http://assets.myntassets.com/v1/images/style/properties/ad0cfc667aefe900b563e82d83794653_images.jpg;MEN
25489;Men;Footwear;Shoes;Casual Shoes;White;Summer;2012;Casual;Nike Men Backboard White Casual Shoes;25489.jpg;http://assets.myntassets.com/v1/images/style/properties/77d868baff626bc5025f61c2632f000b_images.jpg;MEN
34276;Women;Apparel;Topwear;Dupatta;Olive;Summer;2012;Ethnic;Fabindia Women Olive Kota Tepchi Dupatta;34276.jpg;http://assets.myntassets.com/v1/images/style/properties/3c406361d3e273fcf67a0b4746122438_images.jpg;WOMEN
7209;Women;Apparel;Topwear;Tshirts;White;Fall;2011;Casual;Jealous 21 Women Purple Printed White T-shirt;7209.jpg;http://assets.myntassets.com/v1/images/style/properties/88311578934dd19cd4550b9ba36386ec_images.jpg;WOMEN
23469;Men;Accessories;Scarves;Scarves;Grey;Winter;2015;Casual;Lino Perros Men  Grey Striped Scarf;23469.jpg;http://assets.myntassets.com/v1/images/style/properties/Lino-Perros-Men-Grey-Striped-Scarffb05a77c2a551aab57ccbcfd634a877b_images.jpg;MEN
32541;Men;Personal Care;Fragrance;Perfume and Body Mist;Black;Spring;2017;Casual;Playboy Men Vegas Perfume 100 ml;32541.jpg;http://assets.myntassets.com/v1/images/style/properties/39a671a15e12d324dc1e5d09ec41c00c_images.jpg;MEN
34548;Men;Accessories;Belts;Belts;Brown;Summer;2012;Casual;Puma Men Leather Brown Belt;34548.jpg;http://assets.myntassets.com/v1/images/style/properties/762ca56bbe4b292291ea74c5bc164098_images.jpg;MEN
50765;Men;Footwear;Sandal;Sandals;Tan;Winter;2018;Casual;Red Chief Men Tan Sandals;50765.jpg;http://assets.myntassets.com/v1/images/style/properties/ba7ab82e2221905f8e360d2b7fe8e330_images.jpg;MEN
18528;Boys;Accessories;Watches;Watches;Green;Winter;2016;Casual;Chhota Bheem Kids-Boys Green Digital Pop Watch;18528.jpg;http://assets.myntassets.com/v1/images/style/properties/3dd2151af0f493a6c5f30ae7d962afa7_images.jpg;MEN
58687;Women;Apparel;Topwear;Kurtas;White;Summer;2012;Ethnic;ALayna Women Printed White Kurta;58687.jpg;http://assets.myntassets.com/v1/images/style/properties/ALayna-Women-Printed-White-Kurta_e0b4212b001fe9bf4257f90641b38814_images.jpg;WOMEN
10605;Women;Accessories;Watches;Watches;Pink;Winter;2016;Casual;Esprit Women Houston Funny Pink Watches;10605.jpg;http://assets.myntassets.com/v1/images/style/properties/ae3f2d4e106385269dc73c79896d8065_images.jpg;WOMEN
39033;Men;Accessories;Cufflinks;Cufflinks;Steel;Summer;2012;Formal;Belmonte Men Steel Bright Assorted Cufflinks;39033.jpg;http://assets.myntassets.com/v1/images/style/properties/7b5d0474ebde2bde9e52da65a7ef6f2a_images.jpg;MEN
56000;Women;Personal Care;Lips;Lipstick;Brown;Spring;2017;Casual;Colorbar Velvet Matte Misty Cocoa Lipstick 15 BR;56000.jpg;http://assets.myntassets.com/assets/images/56000/2019/1/11/fc22bc0e-8ccd-4439-807b-dc03a320e2701547190456107-Colorbar-Velvet-Matte-Misty-Cocoa-Lipstick-15-BR-34615471904-1.jpg;WOMEN
32167;Women;Accessories;Socks;Socks;Blue;Summer;2017;Casual;Playboy Women Playmate Blue Ankle Socks;32167.jpg;http://assets.myntassets.com/v1/images/style/properties/4822115536aee867d9c20865f392b95b_images.jpg;WOMEN
10388;Women;Accessories;Watches;Watches;Pink;Winter;2016;Casual;Puma Women Pliancy 199 Pink Watches;10388.jpg;http://assets.myntassets.com/v1/images/style/properties/bdbe795c8ecbd156f1c2a40b53091e24_images.jpg;WOMEN
10495;Women;Apparel;Topwear;Shirts;Blue;Fall;2011;Casual;Flying Machine Women HS Blue Shirt;10495.jpg;http://assets.myntassets.com/v1/images/style/properties/59d9fae9996bab8958491b84c2353af1_images.jpg;WOMEN
33929;Women;Accessories;Watches;Watches;Silver;Winter;2016;Casual;Citizen Women White Dial Watch;33929.jpg;http://assets.myntassets.com/v1/images/style/properties/0f19a96b85e401551bf74fa8dc022d9e_images.jpg;WOMEN
13700;Men;Footwear;Shoes;Sports Shoes;White;Spring;2013;Sports;ADIDAS Men Elite Speed White Sports Shoes;13700.jpg;http://assets.myntassets.com/v1/images/style/properties/d22edbddfdc9cf6a5c6703a33138bc4f_images.jpg;MEN
22765;Women;Apparel;Topwear;Kurtas;Navy Blue;Fall;2011;Ethnic;BIBA Women Solid Navy Blue Kurta;22765.jpg;http://assets.myntassets.com/v1/images/style/properties/2f118fffc101e1d7f64abd371f54e5d8_images.jpg;WOMEN
57045;Women;Apparel;Dress;Dresses;Black;Summer;2012;Casual;Elle Women Black Dress;57045.jpg;http://assets.myntassets.com/v1/images/style/properties/Elle-Women-Black-Dress_0493a7ff2ce537de9f11c79c20ebb4e3_images.jpg;WOMEN
18033;Women;Accessories;Bags;Handbags;Brown;Winter;2015;Casual;Lino Perros Women Solid Brown Handbag;18033.jpg;http://assets.myntassets.com/v1/images/style/properties/Lino-Perros-Women-Solid-Brown-Handbag8315dfefd4ac9ed0b34395a7db70bf4c_images.jpg;WOMEN
19005;Women;Apparel;Topwear;Sweatshirts;Grey;Summer;2011;Casual;ADIDAS Originals Women F Sleek Trf Grey Sweatshirt;19005.jpg;http://assets.myntassets.com/v1/images/style/properties/523e55702410d0ae9ab8979c657da9e0_images.jpg;WOMEN
23339;Men;Footwear;Shoes;Sports Shoes;Grey;Fall;2010;Sports;Reebok Men Negotiator Grey Sport Shoes;23339.jpg;http://assets.myntassets.com/v1/images/style/properties/a4d29bac2078faabf8a4bda3758dd2b0_images.jpg;MEN
47303;Women;Accessories;Bags;Clutches;Black;Fall;2012;Casual;Baggit Women Black Purse;47303.jpg;http://assets.myntassets.com/v1/images/style/properties/1c6cfa45b11629741f75401a429092c3_images.jpg;WOMEN
48172;Women;Accessories;Wallets;Wallets;Cream;Winter;2016;Casual;Fossil Women Multi coloured Wallet;48172.jpg;http://assets.myntassets.com/v1/images/style/properties/0a481ed92c0d1fc364d822b2ddf68f96_images.jpg;WOMEN
23262;Men;Accessories;Watches;Watches;Black;Winter;2016;Casual;Maxima Ssteele Men Black Watch;23262.jpg;http://assets.myntassets.com/v1/images/style/properties/da1dd97ac615ffcfa05f247e96f01488_images.jpg;MEN
18487;Men;Apparel;Bottomwear;Jeans;Blue;Fall;2011;Casual;Puma Men Washed Blue Jeans;18487.jpg;http://assets.myntassets.com/v1/images/style/properties/79b03ea2a9ff575251fffe024a83cde3_images.jpg;MEN
4152;Men;Footwear;Shoes;Sports Shoes;White;Summer;2011;Sports;Nike Men's Air Max White Red Black Shoe;4152.jpg;http://assets.myntassets.com/v1/images/style/properties/ad3b4bf50f656914f8e7bbfe718a6778_images.jpg;MEN
12509;Men;Footwear;Shoes;Casual Shoes;Brown;Winter;2018;Casual;Red Tape Men Casual Brown Casual Shoes;12509.jpg;http://assets.myntassets.com/v1/images/style/properties/7f5bf1bfc926e96373823989b1c4f420_images.jpg;MEN
43956;Women;Footwear;Sandal;Sports Sandals;Purple;Summer;2012;Casual;Puma Women Purple Techno Sandals;43956.jpg;http://assets.myntassets.com/v1/images/style/properties/ab1244dde780b3a3275ff5ace796ecf3_images.jpg;WOMEN
19047;Women;Footwear;Shoes;Heels;Multi;Winter;2015;Casual;Catwalk Women Multi Flats;19047.jpg;http://assets.myntassets.com/v1/images/style/properties/45f9dc8d358c90336a38c5635c8dd686_images.jpg;WOMEN
36372;Men;Accessories;Socks;Socks;Brown;Summer;2016;Casual;Reid & Taylor Men Brown Socks;36372.jpg;http://assets.myntassets.com/v1/images/style/properties/d3c3e9f5165e6db20368b8d889daad3c_images.jpg;MEN
38947;Girls;Apparel;Topwear;Tops;Green;Summer;2012;Casual;Gini and Jony Girls Printed Green Top;38947.jpg;http://assets.myntassets.com/v1/images/style/properties/73a5142004af33e2e57bc6dfd086be88_images.jpg;WOMEN
28151;Men;Apparel;Innerwear;Innerwear Vests;Black;Summer;2016;Casual;Jockey SPORT Men Power Back Basic Black Innerwear Vest 9925;28151.jpg;http://assets.myntassets.com/v1/images/style/properties/be04e3420b76ccc828f66469c0305058_images.jpg;MEN
30925;Women;Apparel;Bottomwear;Skirts;Black;Summer;2012;Ethnic;Fabindia Women Printed Black Ghera Skirt;30925.jpg;http://assets.myntassets.com/v1/images/style/properties/7474d5aa6939485b4c8e10cc8b9e634a_images.jpg;WOMEN
39172;Women;Apparel;Topwear;Kurtas;Grey;Summer;2012;Ethnic;Aneri Women Grey & Black Printed Kurta;39172.jpg;http://assets.myntassets.com/v1/images/style/properties/90e32f766480fd0c1ac5680e7666bde8_images.jpg;WOMEN
