Id;MSSubClass;MSZoning;LotFrontage;LotArea;Street;Alley;LotShape;LandContour;Utilities;LotConfig;LandSlope;Neighborhood;SalePrice
44;20;RL;NA;9200;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;CollgCr;130250
45;20;RL;70;7945;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;141000
46;120;RL;61;7658;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;319900
47;50;RL;48;12822;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;Mitchel;239686
48;20;FV;84;11096;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;249700
49;190;RM;33;4456;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;113000
50;20;RL;66;7742;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Sawyer;127000
51;60;RL;NA;13869;Pave;NA;IR2;Lvl;AllPub;Corner;Gtl;Gilbert;177000
52;50;RM;52;6240;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;114500
53;90;RM;110;8472;Grvl;NA;IR2;Bnk;AllPub;Corner;Mod;IDOTRR;110000
54;20;RL;68;50271;Pave;NA;IR1;Low;AllPub;Inside;Gtl;Veenker;385000
55;80;RL;60;7134;Pave;NA;Reg;Bnk;AllPub;Inside;Mod;NAmes;130000
56;20;RL;100;10175;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;180500
57;160;FV;24;2645;Pave;Pave;Reg;Lvl;AllPub;Inside;Gtl;Somerst;172500
58;60;RL;89;11645;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;CollgCr;196500
59;60;RL;66;13682;Pave;NA;IR2;HLS;AllPub;CulDSac;Gtl;StoneBr;438780
60;20;RL;60;7200;Pave;NA;Reg;Bnk;AllPub;Inside;Gtl;CollgCr;124900
61;20;RL;63;13072;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;SawyerW;158000
62;75;RM;60;7200;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;IDOTRR;101000
63;120;RL;44;6442;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NridgHt;202500
64;70;RM;50;10300;Pave;NA;IR1;Bnk;AllPub;Inside;Gtl;OldTown;140000
65;60;RL;NA;9375;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;219500
66;60;RL;76;9591;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;317000
67;20;RL;NA;19900;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;180000
68;20;RL;72;10665;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;226000
69;30;RM;47;4608;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;OldTown;80000
70;50;RL;81;15593;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;ClearCr;225000
71;20;RL;95;13651;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;244000
72;20;RL;69;7599;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Mitchel;129500
73;60;RL;74;10141;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Gilbert;185000
74;20;RL;85;10200;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;144900
75;50;RM;60;5790;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;OldTown;107400
76;180;RM;21;1596;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;MeadowV;91000
77;20;RL;NA;8475;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;135750
78;50;RM;50;8635;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;127000
79;90;RL;72;10778;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Sawyer;136500
80;50;RM;60;10440;Pave;Grvl;Reg;Lvl;AllPub;Corner;Gtl;OldTown;110000
81;60;RL;100;13000;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NAmes;193500
82;120;RM;32;4500;Pave;NA;Reg;Lvl;AllPub;FR2;Gtl;Mitchel;153500
83;20;RL;78;10206;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;245000
84;20;RL;80;8892;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;126500
85;80;RL;NA;8530;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Gilbert;168500
86;60;RL;121;16059;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NoRidge;260000
87;60;RL;122;11911;Pave;NA;IR2;Lvl;AllPub;Inside;Gtl;Gilbert;174000
88;160;FV;40;3951;Pave;Pave;Reg;Lvl;AllPub;Corner;Gtl;Somerst;164500
89;50;C (all);105;8470;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;IDOTRR;85000
90;20;RL;60;8070;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;123600
91;20;RL;60;7200;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;109900
92;20;RL;85;8500;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;98600
93;30;RL;80;13360;Pave;Grvl;IR1;HLS;AllPub;Inside;Gtl;Crawfor;163500
94;190;C (all);60;7200;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;OldTown;133900
95;60;RL;69;9337;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;204750
96;60;RL;NA;9765;Pave;NA;IR2;Lvl;AllPub;Corner;Gtl;Gilbert;185000
97;20;RL;78;10264;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;214000
98;20;RL;73;10921;Pave;NA;Reg;HLS;AllPub;Inside;Gtl;Edwards;94750
99;30;RL;85;10625;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Edwards;83000
100;20;RL;77;9320;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;128950
101;20;RL;NA;10603;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NWAmes;205000
102;60;RL;77;9206;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;SawyerW;178000
103;90;RL;64;7018;Pave;NA;Reg;Bnk;AllPub;Inside;Gtl;SawyerW;118964
104;20;RL;94;10402;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;CollgCr;198900
105;50;RM;NA;7758;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;IDOTRR;169500
106;60;FV;75;9375;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;250000
107;30;RM;60;10800;Pave;Grvl;Reg;Lvl;AllPub;Inside;Gtl;OldTown;100000
108;20;RM;50;6000;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;115000
109;50;RM;85;8500;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;IDOTRR;115000
110;20;RL;105;11751;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NWAmes;190000
111;50;RL;75;9525;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;136900
112;80;RL;NA;7750;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Gilbert;180000
113;60;RL;77;9965;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;383970
114;20;RL;NA;21000;Pave;NA;Reg;Bnk;AllPub;Corner;Gtl;Crawfor;217000
115;70;RL;61;7259;Pave;NA;IR1;Lvl;AllPub;Inside;Mod;Crawfor;259500
116;160;FV;34;3230;Pave;Pave;Reg;Lvl;AllPub;Corner;Gtl;Somerst;176000
117;20;RL;NA;11616;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Sawyer;139000
118;20;RL;74;8536;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Edwards;155000
119;60;RL;90;12376;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;SawyerW;320000
120;60;RL;65;8461;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;163990
121;80;RL;NA;21453;Pave;NA;IR1;Low;AllPub;CulDSac;Sev;ClearCr;180000
122;50;RM;50;6060;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;IDOTRR;100000
123;20;RL;75;9464;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NAmes;136000
124;120;RL;55;7892;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;SawyerW;153900
125;20;RL;48;17043;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;NWAmes;181000
126;190;RM;60;6780;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;IDOTRR;84500
127;120;RL;NA;4928;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NPkVill;128000
128;45;RM;55;4388;Pave;NA;IR1;Bnk;AllPub;Inside;Gtl;OldTown;87000
129;60;RL;69;7590;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;155000
130;20;RL;69;8973;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;150000
131;60;RL;88;14200;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NAmes;226000
132;60;RL;NA;12224;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Gilbert;244000
133;20;RL;75;7388;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NAmes;150750
134;20;RL;NA;6853;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Timber;220000
135;20;RL;78;10335;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Sawyer;180000
136;20;RL;80;10400;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NWAmes;174000
137;20;RL;NA;10355;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NAmes;143000
138;90;RL;82;11070;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Mitchel;171000
139;60;RL;73;9066;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;230000
140;60;RL;65;15426;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;231500
141;20;RL;70;10500;Pave;NA;Reg;Lvl;AllPub;FR2;Gtl;NAmes;115000
142;20;RL;78;11645;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;260000
143;50;RL;71;8520;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NAmes;166000
144;20;RL;78;10335;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;204000
145;90;RM;70;9100;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Sawyer;125000
146;160;RM;24;2522;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;130000
147;30;RM;51;6120;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;BrkSide;105000
148;60;RL;NA;9505;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;Gilbert;222500
149;20;RL;63;7500;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;SawyerW;141000
150;50;RM;NA;6240;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;115000
151;20;RL;120;10356;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;CollgCr;122000
152;20;RL;107;13891;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;372402
153;60;RL;NA;14803;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;NWAmes;190000
154;20;RL;NA;13500;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;ClearCr;235000
155;30;RM;84;11340;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;OldTown;125000
156;50;RL;60;9600;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Edwards;79000
157;20;RL;60;7200;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;109500
158;60;RL;92;12003;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Timber;269500
159;60;FV;100;12552;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Somerst;254900
160;60;RL;134;19378;Pave;NA;IR1;HLS;AllPub;Corner;Gtl;Gilbert;320000
161;20;RL;NA;11120;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;Veenker;162500
162;60;RL;110;13688;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NridgHt;412500
163;20;RL;95;12182;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NridgHt;220000
164;45;RL;55;5500;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;103200
165;40;RM;40;5400;Pave;Pave;Reg;Lvl;AllPub;Corner;Gtl;OldTown;152000
166;190;RL;62;10106;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;127500
167;20;RL;NA;10708;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;ClearCr;190000
168;60;RL;86;10562;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;325624
169;60;RL;62;8244;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Gilbert;183500
170;20;RL;NA;16669;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Timber;228000
171;50;RM;NA;12358;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;OldTown;128500
172;20;RL;141;31770;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NAmes;215000
173;160;RL;44;5306;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;StoneBr;239000
174;20;RL;80;10197;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;163000
175;20;RL;47;12416;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Timber;184000
176;20;RL;84;12615;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Edwards;243000
177;60;RL;97;10029;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;ClearCr;211000
178;50;RL;NA;13650;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Sawyer;172500
179;20;RL;63;17423;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;StoneBr;501837
180;30;RM;60;8520;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;100000
181;160;FV;NA;2117;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;177000
182;70;RL;54;7588;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Crawfor;200100
183;20;RL;60;9060;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;120000
184;50;RM;63;11426;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;200000
185;50;RL;92;7438;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;BrkSide;127000
186;75;RM;90;22950;Pave;NA;IR2;Lvl;AllPub;Inside;Gtl;OldTown;475000
187;80;RL;NA;9947;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;Mitchel;173000
188;50;RL;60;10410;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;135000
189;90;RL;64;7018;Pave;NA;Reg;Bnk;AllPub;Inside;Gtl;SawyerW;153337
190;120;RL;41;4923;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;StoneBr;286000
191;70;RL;70;10570;Pave;NA;Reg;Bnk;AllPub;Inside;Mod;Crawfor;315000
192;60;RL;NA;7472;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;NAmes;184000
193;20;RL;68;9017;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;192000
194;160;RM;24;2522;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;130000
195;20;RL;60;7180;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;127000
196;160;RL;24;2280;Pave;NA;Reg;Lvl;AllPub;FR2;Gtl;NPkVill;148500
197;20;RL;79;9416;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;311872
198;75;RL;174;25419;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NAmes;235000
199;75;RM;92;5520;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;OldTown;104000
200;20;RL;76;9591;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;274900
201;20;RM;80;8546;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Edwards;140000
202;20;RL;75;10125;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Mitchel;171500
203;50;RL;50;7000;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;OldTown;112000
204;120;RM;NA;4438;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;149000
205;50;RM;50;3500;Pave;Grvl;Reg;Lvl;AllPub;Inside;Gtl;OldTown;110000
206;20;RL;99;11851;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Gilbert;180500
207;20;RL;40;13673;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;Sawyer;143900
208;20;RL;NA;12493;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;141000
209;60;RL;NA;14364;Pave;NA;IR1;Low;AllPub;Inside;Mod;SawyerW;277000
210;20;RL;75;8250;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;145000
211;30;RL;67;5604;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;98000
212;20;RL;83;10420;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Edwards;186000
213;60;FV;72;8640;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;252678
214;20;RL;43;13568;Pave;NA;IR2;Lvl;AllPub;CulDSac;Gtl;CollgCr;156000
215;60;RL;NA;10900;Pave;NA;IR1;Lvl;AllPub;FR2;Gtl;CollgCr;161750
216;20;RL;72;10011;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;134450
217;20;RL;65;8450;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;210000
218;70;RM;57;9906;Pave;Grvl;Reg;Lvl;AllPub;Inside;Gtl;OldTown;107000
219;50;RL;NA;15660;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Crawfor;311500
220;120;RL;43;3010;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Blmngtn;167240
221;20;RL;73;8990;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;204900
222;60;RL;NA;8068;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Gilbert;200000
223;60;RL;85;11475;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NWAmes;179900
224;20;RL;70;10500;Pave;NA;Reg;Lvl;AllPub;FR2;Gtl;NAmes;97000
225;20;RL;103;13472;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;386250
226;160;RM;21;1680;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrDale;112000
227;60;RL;82;9950;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NoRidge;290000
228;160;RM;21;1869;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrDale;106000
229;20;RL;70;8521;Pave;NA;Reg;Lvl;AllPub;FR2;Gtl;Sawyer;125000
230;120;RL;43;3182;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Blmngtn;192500
231;20;RL;73;8760;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;148000
232;60;RL;174;15138;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NoRidge;403000
233;160;RM;21;1680;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrDale;94500
234;20;RL;75;10650;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;CollgCr;128200
235;60;RL;NA;7851;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Gilbert;216500
236;160;RM;21;1680;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrDale;89500
237;20;RL;65;8773;Pave;NA;Reg;Lvl;AllPub;FR2;Gtl;CollgCr;185500
238;60;RL;NA;9453;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;SawyerW;194500
239;20;RL;93;12030;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;318000
240;50;RL;52;8741;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;113000
241;20;FV;75;9000;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;262500
242;30;RM;40;3880;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;110500
243;50;RM;63;5000;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;OldTown;79000
244;160;RL;75;10762;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;SawyerW;120000
245;60;RL;NA;8880;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;SawyerW;205000
246;20;RL;80;10400;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NWAmes;241500
247;190;RM;69;9142;Pave;Grvl;Reg;Lvl;AllPub;Inside;Gtl;OldTown;137000
248;20;RL;75;11310;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;140000
249;60;RL;72;11317;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;180000
250;50;RL;NA;159000;Pave;NA;IR2;Low;AllPub;CulDSac;Sev;ClearCr;277000
251;30;RL;55;5350;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;BrkSide;76500
252;120;RM;44;4750;Pave;NA;IR1;HLS;AllPub;Inside;Mod;Crawfor;235000
253;60;RL;65;8366;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;SawyerW;173000
254;80;RL;85;9350;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;158000
255;20;RL;70;8400;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;145000
256;60;RL;66;8738;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Gilbert;230000
257;60;FV;64;8791;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Somerst;207500
258;20;RL;68;8814;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;220000
259;60;RL;80;12435;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;231500
260;20;RM;70;12702;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;97000
261;80;RL;120;19296;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NAmes;176000
262;60;RL;69;9588;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;276000
263;80;RL;88;8471;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Sawyer;151000
264;50;RM;50;5500;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;OldTown;130000
265;30;RM;30;5232;Pave;Grvl;IR3;Bnk;AllPub;Inside;Gtl;OldTown;73000
266;20;RL;78;12090;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NWAmes;175500
267;60;RL;70;11207;Pave;NA;IR1;HLS;AllPub;FR2;Gtl;Gilbert;185000
268;75;RL;60;8400;Pave;NA;Reg;Bnk;AllPub;Inside;Mod;SWISU;179500
269;30;RM;71;6900;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;IDOTRR;120500
270;20;RL;NA;7917;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Edwards;148000
271;60;FV;84;10728;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;266000
